county_fips,county_nm,county_pop,total_bg_pop,pop_11,pop_12,pop_13,pop_21,pop_22,pop_23,pop_31,pop_32,pop_33,pop_41,pop_42,pop_43,urban_suburban_pop,rural_pop,urban_suburban_perc,rural_perc,metro_fips,metro_nm,city_name,city_pop,city_contains_small_urban,city_contains_mid_sized_urban,city_contains_large_urban,MSA_large_urban,MSA_mid_sized_urban,locale_type
1001,"Autauga County, Alabama",60342,59284.99996,,,,27988.17383,,,,,,15972.93904,15293.79896,30.08813148,27988.17383,31296.82613,0.472095367,0.527904633,33860,"Montgomery, AL",,,,,,0,1,Small town
1003,"Baldwin County, Alabama",253507,229207.3829,,,35186.39265,5970.553992,,18001.59606,32629.08521,5465.141506,,107697.9551,23459.09148,797.566961,59158.5427,131954.6135,0.258100511,0.575699665,19300,"Daphne-Fairhope-Foley, AL",,,,,,0,0,Small urban
1005,"Barbour County, Alabama",24585,24756.99991,,,,,,,,3352.764369,,6302.364799,6909.594807,8192.275934,0,21404.23554,0,0.864573075,,,,,,,,0,0,Rural
1007,"Bibb County, Alabama",21868,22152,,,,,,,,,,36.35298125,21915.0696,200.5774218,0,22152,0,1,13820,"Birmingham, AL",,,,,,0,1,Rural
1009,"Blount County, Alabama",59816,59292,,,,,,,,1540.646592,,9281.888294,47686.30358,783.1615338,0,57751.35341,0,0.974015945,13820,"Birmingham, AL",,,,,,0,1,Rural
1011,"Bullock County, Alabama",9897,10157,,,,,,,,,,,4388.387627,5768.612373,0,10157,0,1,,,,,,,,0,0,Rural
1013,"Butler County, Alabama",18382,18806.99988,,,,,,,,3089.874301,,4411.481941,5558.541837,5747.101796,0,15717.12557,0,0.835706156,,,,,,,,0,0,Rural
1015,"Calhoun County, Alabama",116429,116140.9998,,,30722.51843,,,27765.69233,,,,45477.73416,12175.05488,,58488.21076,57652.78904,0.503596584,0.496403416,11500,"Anniston-Oxford, AL",,,,,,0,0,Small urban
1017,"Chambers County, Alabama",34079,34449.99994,,,,,,,,11934.70151,,10241.89617,11455.38954,818.0127149,0,22515.29843,0,0.653564542,,,,,,,,0,0,Rural
1019,"Cherokee County, Alabama",25666,25224,,,,,,,,,,,25224,,0,25224,0,1,,,,,,,,0,0,Rural
1021,"Chilton County, Alabama",46431,45500,,,,,,,10.30991784,4837.111189,,14287.2935,25274.50984,1090.775553,0,40652.57889,0,0.893463272,13820,"Birmingham, AL",,,,,,0,1,Rural
1023,"Choctaw County, Alabama",12252,12525,,,,,,,,,,,,12525,0,12525,0,1,,,,,,,,0,0,Rural
1025,"Clarke County, Alabama",22337,22802,,,,,,,,,,,128.3586751,22673.64132,0,22802,0,1,,,,,,,,0,0,Rural
1027,"Clay County, Alabama",14111,14188,,,,,,,,,,36.88158909,11604.97725,2546.141156,0,14188,0,1,,,,,,,,0,0,Rural
1029,"Cleburne County, Alabama",15639,15254,,,0.003499524,,,,,,,1252.079578,13794.70151,207.2154151,0.003499524,15253.9965,2.29E-07,0.999999771,,,,,,,,0,0,Rural
1031,"Coffee County, Alabama",55643,54230.9999,,,,,,,,20854.47241,,13038.3286,12712.37161,7625.827291,0,33376.5275,0,0.615451081,,,,,,,,0,0,Small town
1033,"Colbert County, Alabama",58361,57647.99959,,,12445.97867,,,14539.32365,,,,19115.29478,11547.40249,,26985.30232,30662.69727,0.468104748,0.531895252,22520,"Florence-Muscle Shoals, AL",,,,,,0,0,Small town
1035,"Conecuh County, Alabama",11174,11411,,,,,,,,,,,1024.489745,10386.51026,0,11411,0,1,,,,,,,,0,0,Rural
1037,"Coosa County, Alabama",10268,10323,,,,,,,,,,514.7474681,8924.09718,884.155352,0,10323,0,1,,,,,,,,0,0,Rural
1039,"Covington County, Alabama",37952,37646.99989,,,,,,,,,4576.677387,12310.64948,13108.79196,7650.881062,0,33070.3225,0,0.878431817,,,,,,,,0,0,Rural
1041,"Crenshaw County, Alabama",13101,13144,,,,,,,,,,,2428.097049,10715.90295,0,13144,0,1,,,,,,,,0,0,Rural
1043,"Cullman County, Alabama",92016,89462.99999,,,,,,,,15384.79759,,24754.39139,48076.28137,1247.529639,0,74078.2024,0,0.828031727,,,,,,,,0,0,Rural
1045,"Dale County, Alabama",49871,49515.99976,,,557.7126966,,,246.1255436,,12308.2744,,26275.34486,9985.86546,142.6768074,803.8382402,36403.88713,0.016233909,0.735194428,,,,,,,,0,0,Rural
1047,"Dallas County, Alabama",36165,37536,,,,,,,,13023.37398,,11189.22657,9441.899263,3881.500194,0,24512.62603,0,0.653043106,,,,,,,,0,0,Rural
1049,"DeKalb County, Alabama",72569,71945.99981,,,,,,,,4470.100974,,13473.87825,51987.75129,2014.269298,0,67475.89883,0,0.937868666,,,,,,,,0,0,Rural
